id1	id2	weight
Zm00001d035664	Zm00001d047217	0.999171156284519
Zm00001d001800	Zm00001d022353	1
Zm00001d003947	Zm00001d024605	1
Zm00001d054017	Zm00001d047707	1
Zm00001d038922	ZemaCp032	1
Zm00001d035562	Zm00001d031703	0.963374134936033
Zm00001d043454	Zm00001d017112	1
Zm00001d024767	Zm00001d050616	1
ZeamMp176	Zm00001d050054	1
Zm00001d017885	Zm00001d027340	0.997515529229871
Zm00001d050793	Zm00001d021445	1
Zm00001d044702	Zm00001d020201	0.999171156284519
Zm00001d035130	Zm00001d034528	1
Zm00001d005498	Zm00001d044663	1
Zm00001d003089	Zm00001d017956	1
Zm00001d023333	Zm00001d028117	1
Zm00001d023578	Zm00001d053636	1
Zm00001d037211	Zm00001d020783	1
Zm00001d031132	Zm00001d008395	1
ZemaCp024	Zm00001d007513	0.954627092137346
Zm00001d036233	Zm00001d043125	0.998342999550943
Zm00001d021999	Zm00001d014785	1
Zm00001d048338	Zm00001d024239	0.999171156284519
Zm00001d003770	Zm00001d034254	0.964973095789084
Zm00001d038675	Zm00001d049134	1
Zm00001d038851	Zm00001d047283	1
Zm00001d007169	Zm00001d003974	1
Zm00001d020939	Zm00001d032379	1
ZeamMp088	Zm00001d005334	1
Zm00001d033004	Zm00001d019137	0.827055138088397
Zm00001d049982	Zm00001d048852	1
Zm00001d023354	Zm00001d049191	1
Zm00001d032886	Zm00001d013873	1
Zm00001d048415	Zm00001d020053	0.999171156284519
Zm00001d047910	Zm00001d004259	1
Zm00001d039578	Zm00001d034636	1
Zm00001d053875	Zm00001d030385	1
Zm00001d018957	Zm00001d002169	1
Zm00001d041064	Zm00001d026177	0.998342999550943
Zm00001d009787	Zm00001d025325	1
Zm00001d012886	Zm00001d048105	1
Zm00001d019664	Zm00001d052473	1
Zm00001d013737	Zm00001d024865	1
Zm00001d023616	Zm00001d050915	1
Zm00001d002814	Zm00001d006213	1
Zm00001d015026	Zm00001d016653	0.999171156284519
Zm00001d005502	Zm00001d039372	1
Zm00001d046506	Zm00001d009480	0.999171156284519
Zm00001d009404	Zm00001d021511	1
Zm00001d011713	Zm00001d006566	1
Zm00001d051033	Zm00001d044184	1
Zm00001d029889	Zm00001d044287	1
Zm00001d006430	Zm00001d003157	1
Zm00001d038929	Zm00001d034139	1
Zm00001d011197	Zm00001d022308	1
Zm00001d034935	Zm00001d046483	1
Zm00001d008511	Zm00001d027283	0.999171156284519
Zm00001d049821	Zm00001d030409	1
Zm00001d026691	Zm00001d017456	1
Zm00001d005329	ZemaCp029	1
Zm00001d012821	Zm00001d014656	1
Zm00001d037582	Zm00001d037626	1
Zm00001d039012	Zm00001d017719	0.999171156284519
Zm00001d034618	Zm00001d032597	0.999171156284519
Zm00001d014526	Zm00001d003460	0.999171156284519
Zm00001d048770	Zm00001d014732	1
Zm00001d049982	Zm00001d051009	0.995037231054749
Zm00001d008563	Zm00001d012254	0.999171156284519
Zm00001d044412	Zm00001d052028	0.956211535080368
Zm00001d009055	Zm00001d037603	1
Zm00001d014377	Zm00001d003857	1
Zm00001d043309	Zm00001d010631	0.981109396723237
Zm00001d023582	Zm00001d020980	0.998342999550943
Zm00001d017768	ZemaCp065	1
Zm00001d032991	Zm00001d013505	0.999171156284519
Zm00001d020204	Zm00001d005642	0.999171156284519
Zm00001d043653	Zm00001d034805	0.999171156284519
Zm00001d002538	Zm00001d028653	1
Zm00001d050116	Zm00001d045448	1
Zm00001d030508	Zm00001d019155	0.998342999550943
Zm00001d018842	Zm00001d019605	1
Zm00001d032526	Zm00001d005546	1
Zm00001d014865	Zm00001d014865	1
Zm00001d014343	Zm00001d009798	0.997515529229871
Zm00001d047770	Zm00001d017876	1
Zm00001d053636	Zm00001d028368	0.999171156284519
Zm00001d026540	Zm00001d011992	1
Zm00001d052285	Zm00001d012819	0.934266671013846
Zm00001d037829	Zm00001d020357	1
Zm00001d042306	Zm00001d038923	1
Zm00001d003328	Zm00001d010403	0.913582654443667
