Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d016735	9	0.00474235296859829	568	0.230711734282509
Zm00001d005843	8	0.00474633403845528	1204	0.507066013153487
Zm00001d045605	10	0.00474005861388401	685	0.0050727384502698
Zm00001d021715	10	0.00473942352259855	658	0.00444886333275642
Zm00001d041957	9	0.00475026432015357	1940	0.795419553765857
Zm00001d040888	9	0.00474644233934185	888	0.35846991718776
Zm00001d020001	9	0.00474688205937775	898	0.282762512504866
Zm00001d028950	10	0.0047414462516736	796	0.00608413012741067
Zm00001d011454	10	0.00474148415904742	270	0.0122004776442367
Zm00001d041935	10	0.00473863312007728	159	0.00199940230805595
Zm00001d026573	10	0.00473625061722144	154	0.000154502887403909
Zm00001d025060	9	0.00474771241473825	836	0.287112724590401
Zm00001d002190	9	0.00474949133891729	1627	0.554968205970336
Zm00001d034547	8	0.004749532612185	1782	0.691175696141613
Zm00001d017871	9	0.00474894595173399	1705	0.699270881485281
Zm00001d043990	9	0.00474910858376587	1803	0.761257320119088
Zm00001d039594	9	0.00474861991210777	1486	0.582422086024331
Zm00001d012709	9	0.004749922720458	1644	0.662441673079338
Zm00001d007172	9	0.00474799142111502	1199	0.474149979392721
Zm00001d022388	10	0.00474093173918922	342	0.00412374140590088
Zm00001d013795	10	0.00473857914705575	320	0.00328320262621515
Zm00001d043071	9	0.0047402585255439	258	0.0808147817539535
Zm00001d002860	9	0.00474506793138258	994	0.435166187734042
Zm00001d031317	9	0.00474931816086854	1687	0.676501336741812
Zm00001d006456	9	0.00474983692351525	1937	0.763392357952532
Zm00001d052036	9	0.00474630979266524	803	0.313029299665522
Zm00001d002890	9	0.0047480245805747	1189	0.470640607808652
Zm00001d019185	8	0.0047507152746046	2400	0.886349453847813
Zm00001d007975	9	0.00474749812775801	1272	0.481867551271509
Zm00001d039118	10	0.00474226583127204	487	0.0115646319245594
Zm00001d034283	10	0.00474239976589144	808	0.00987627686348841
Zm00001d049292	10	0.00473240775718269	101	0.000461231034812312
Zm00001d043735	10	0.00472686154301149	19	2.57968168695099e-05
Zm00001d053268	9	0.00474683840705544	1218	0.471726977739297
Zm00001d044259	9	0.00474646658648611	1073	0.361405327995606
Zm00001d032763	9	0.0047505865374029	2114	0.756373311205785
Zm00001d013940	9	0.00474825509205813	1370	0.52080275571642
Zm00001d005403	9	0.00474811597367806	1190	0.434389422191866
Zm00001d001973	9	0.00474964267773928	1719	0.65936381713467
Zm00001d050357	9	0.00474828259316805	1419	0.491690528764238
Zm00001d039078	9	0.00474769381547901	1237	0.463643459904455
Zm00001d043831	9	0.00474779813494689	1263	0.527531923382416
Zm00001d000143	8	0.0047462782735085	932	0.368944831139014
Zm00001d038884	10	0.00473772782489614	371	0.000118350079300281
Zm00001d028167	10	0.00473911812686331	441	0.000285945032758158
Zm00001d048542	9	0.00474655306998484	1274	0.512144268943204
Zm00001d005007	9	0.00474469638811392	833	0.333767617114215
Zm00001d044247	9	0.00474839826308859	1426	0.600294507178495
Zm00001d031866	8	0.00474502188916695	908	0.376995309620401
Zm00001d035757	9	0.00475116145562742	2160	0.806728958583846
Zm00001d012145	9	0.00474947353498405	1780	0.717532601510323
Zm00001d015705	10	0.00473687761355446	383	0.00164355267943031
Zm00001d000164	10	0.00474340370953434	936	0.0106979404539382
Zm00001d047789	10	0.00474357807103455	995	0.011254153001026
