Gene	Co-expression	Co-translation	Interactome
Zm00001d037484	0	0	1
Zm00001d021553	0	0	1
Zm00001d050961	0	0	1
Zm00001d015300	0	0	1
Zm00001d047479	0	0	1
Zm00001d011716	0	0	1
Zm00001d026254	0	0	1
Zm00001d007352	0	0	1
Zm00001d029758	1	0	1
Zm00001d019949	0	0	1
Zm00001d040234	0	0	1
Zm00001d034758	0	0	1
Zm00001d052126	0	0	1
Zm00001d045870	0	0	1
Zm00001d022463	0	1	1
Zm00001d050920	0	0	1
Zm00001d000001	0	0	1
Zm00001d045381	1	0	1
Zm00001d012525	0	0	1
Zm00001d018145	0	0	1
Zm00001d021965	0	0	1
Zm00001d038266	0	0	1
Zm00001d002925	0	0	1
Zm00001d001951	0	0	1
Zm00001d037346	0	0	1
Zm00001d053555	0	0	1
Zm00001d040257	0	1	1
Zm00001d010804	0	0	1
Zm00001d015151	0	0	1
Zm00001d024571	0	0	1
Zm00001d028546	0	0	1
Zm00001d053671	0	0	1
Zm00001d048741	0	0	1
Zm00001d043609	0	0	1
Zm00001d033147	0	0	1
Zm00001d043632	0	0	1
Zm00001d024364	0	0	1
Zm00001d031445	0	0	1
Zm00001d039145	0	0	1
Zm00001d023445	0	0	1
Zm00001d010534	0	0	1
Zm00001d052855	0	0	1
Zm00001d031429	1	0	1
Zm00001d020515	1	1	1
Zm00001d010488	1	1	1
Zm00001d011741	0	1	1
Zm00001d010646	0	0	1
Zm00001d016732	0	0	1
Zm00001d033325	0	0	1
Zm00001d018631	0	0	1
Zm00001d048252	0	0	1
Zm00001d030665	0	0	1
Zm00001d015842	0	0	1
Zm00001d032422	0	0	1
Zm00001d007146	0	0	1
Zm00001d007069	0	0	1
Zm00001d048529	0	0	1
Zm00001d003773	0	0	1
Zm00001d041497	0	1	1
Zm00001d031009	1	1	1
Zm00001d048059	0	1	1
Zm00001d030290	0	0	1
Zm00001d018309	0	0	1
Zm00001d052820	0	0	1
Zm00001d041711	0	0	1
Zm00001d043325	0	0	1
Zm00001d040173	0	0	1
Zm00001d005812	0	0	1
Zm00001d024635	0	0	1
Zm00001d002843	0	0	1
Zm00001d034047	0	0	1
Zm00001d053011	1	1	1
Zm00001d033396	0	1	1
Zm00001d016816	0	0	1
Zm00001d037603	0	0	1
Zm00001d053239	0	0	1
Zm00001d049499	0	0	1
Zm00001d021376	0	0	1
Zm00001d038667	1	1	1
Zm00001d045069	0	0	1
Zm00001d047707	0	0	1
Zm00001d009417	0	0	1
Zm00001d037732	0	0	1
Zm00001d014559	0	0	1
Zm00001d006510	0	0	1
Zm00001d020874	0	0	1
Zm00001d033128	0	0	1
Zm00001d043695	0	0	1
Zm00001d017957	0	0	1
Zm00001d045231	0	0	1
Zm00001d030947	0	0	1
Zm00001d042880	0	0	1
Zm00001d012452	0	0	1
Zm00001d012276	1	1	1
Zm00001d029543	1	1	1
Zm00001d010016	0	1	1
