Gene	eccentricity	closeness	degree	eigen_centrality
Zm00001d014683	7	0.00676490607162888	13	0.00719773063202147
Zm00001d042772	6	0.00678847463961864	48	0.0634997409645171
Zm00001d014761	6	0.00677040813201486	21	0.0118642546402876
Zm00001d035270	7	0.00676660397810725	5	0.011314514447554
Zm00001d041354	6	0.00678578961377346	47	0.038456669224854
Zm00001d020053	7	0.00677216807405229	8	0.0178064255159029
Zm00001d049557	6	0.00678476914685967	24	0.0453211353849208
Zm00001d012061	6	0.00678531355602608	52	0.0399707639572644
Zm00001d023504	7	0.0067568187107335	6	0.0046037412715784
Zm00001d032989	6	0.00679372580215353	84	0.0731425426834389
Zm00001d031660	6	0.00677059178691121	11	0.0149364455249308
ZemaCp013	6	0.00680305603388208	237	0.17936281827464
Zm00001d007670	7	0.00675751503356051	1	0.00523876594569959
Zm00001d047889	7	0.00674902733323361	4	0.00228624924654822
Zm00001d006160	6	0.00677514190583976	15	0.0189484238375196
Zm00001d018542	6	0.00679050321248944	63	0.0584000956880363
Zm00001d033396	6	0.0067869979101748	30	0.0571646056891409
Zm00001d035455	6	0.0067847810455797	18	0.0489813929429608
Zm00001d017409	7	0.00673948357482242	1	0.00143063125229001
Zm00001d044426	6	0.00679089357627545	54	0.0885967772996972
Zm00001d000279	5	0.00681911520272712	363	0.850560226665352
Zm00001d028397	6	0.0067957903427318	69	0.0905267913892205
Zm00001d038133	6	0.00677440339284886	14	0.0236826787159604
Zm00001d049494	6	0.00678926388146713	17	0.0990817986370492
Zm00001d009474	6	0.0067828718350616	36	0.0625221249656336
Zm00001d031861	7	0.00673944541876671	5	0.00146952965974837
Zm00001d034387	7	0.00675147714466834	2	0.00336640093808993
Zm00001d034047	6	0.0067833743111971	31	0.0352370718566588
Zm00001d011606	7	0.00675529379307455	4	0.00449845347125836
Zm00001d051842	6	0.00679831305188244	84	0.120428325478427
Zm00001d005271	7	0.00676859877539755	3	0.017796781353265
Zm00001d028547	8	0.00672083580704969	2	0.000309800013685572
Zm00001d022388	7	0.00676434127773708	8	0.00983366490637511
