gene	30-Embryo(15DAP)	32-Endosperm(15DAP)	23-1cmear	27-1cmtassel	31-Embryo(20DAP)	33-Endosperm(20DAP)	21-2mmear	26-2mmtassel	22-5mmear	01-Root(6DAS)	04-Seedling(6DAS)	29-Kernel(6DAP)	10-Leaf(14DAS)	03-Root(14DAS)	05-Seedling(14DAS)	18-Stem(14DAS)	15-Ear-leaf	08-First Leaf-N(V3)	25-Inflorescence	20-Internode(V6)	19-Stem(V6)	28-Tassel(V12)	06-Topmost Leaf-N(V3)	02-Primary Root(V1)	16-SAM(V1)	09-Third Leaf(V3)	17-SAM(V3)	12-Tip of Stage 2 leaf-L(V5)	11-Tip of Stage 2 Leaf-N(V5)	14-Base of Stage 2 leaf-L(V5)	13-Base of Stage 2 Leaf-N(V5)
Zm00001d022356	2.84047481566806	1.72812622808591	3.33129863102019	2.67402590186529	1.67388834134156	0.293152680263556	3.58617037226654	3.99382663819045	3.15554702751792	1.9209565587479	0.976255842038253	2.87585386662862	1.98216891581347	2.2496155417541	2.15557017974555	2.39723535366814	1.99071892870983	2.34129325817244	3.11136381193738	2.30930179196023	2.66410937522218	2.22911366262092	2.12257316777534	2.10623121723374	3.01903493632407	2.19500987995804	2.92005819990255	1.57514021368024	2.36958066631578	1.21692197747471	2.40300997780214
Zm00001d027315	2.52040628135572	1.07469654997078	2.61479675651275	2.54045497882141	2.10781840889932	1.51270450261365	2.38940215892559	2.15307018483805	2.44429468474379	1.21464489021892	0.376880456074401	1.59252114233435	0.100564621356405	0.846009428020161	0.845642592198834	1.47523822601661	0.720721495042059	1.0602552966779	2.62791063584911	1.14112145958796	1.07759508295526	1.71422375341677	2.34611456334661	0.810433232198862	1.33642108010729	0.875079379983467	1.28685927068929	0.279448117247526	1.09574386089972	0.118293271403614	1.34774813415097
Zm00001d008406	4.35195229139249	4.72879481661441	7.25900926064282	7.6606175297297	3.40689199417846	4.32801882982628	6.38960751604441	7.06502544062467	6.83477130156834	5.72743814632922	3.88467396083374	3.16968156619198	4.03349458386665	5.42622821714874	4.6778074901105	4.85913260199223	3.60746679364317	5.39398531295222	6.00954771926873	6.61719379930327	5.5876845959009	4.44966087422214	4.35876940694378	4.10660669825943	6.2007212836116	5.70780088807127	6.35614182898378	2.66424844026824	4.90371555576087	2.87859528710542	5.03075653091682
Zm00001d016359	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0852227192048479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d031671	2.22628347649106	0.192230153288455	1.33662787944842	1.29069982262076	2.33756995511654	0.322034850370484	1.88632987321358	1.62007609879162	1.59435482368351	3.72888281941622	1.74279699640363	4.0609275223876	0.727631668888405	1.08809952330513	1.19512834241579	2.44872932364216	0.530330983335033	2.54876421491284	2.30877790675767	2.96667335712933	2.92218776091556	3.6984043049394	1.06740570556355	3.70745217945896	2.62587842098673	0.769345213859241	2.08217408334123	0.602980822646779	0.884297434049595	0.711063134827548	1.48553167637472
ENSRNA049472265	0	0.0637141539654483	0	0	0	0.142147421557716	0	0	0	0.475614120016158	0.0641861623651266	0.0370201848900408	0	0	0	0	0	0.0907965343135136	0	0.0702038266036597	0	0	0	0.0582001054137398	0	0.0712704767190301	0	0	0	0	0
Zm00001d035984	0.0153434148752342	0	0.015201378307216	0.0349418111954027	0.0551171994912325	0.0054847862540526	0.00148376992830228	0.265133201985877	0.0287091716851979	0.00676908971027355	0	0.063826649515572	0.0372542891701926	0.190435341750018	0.0627717455359688	1.09740179295398	0	0.0155460961132132	0.0317628813726008	0.119876051239211	0.0905682498667451	0.0265217605272513	0	0.0137323713488374	0.02976948417662	0.0358505006199838	0.0082150761955168	0	0.310906034715204	0	0.353093458030245
Zm00001d001218	0	0.0128053490370356	0.0129354682872441	0.0842078466309246	0	0	0.0644117609542938	0.0165982962183047	0.0159749157144869	0.0203357782727698	0.400336812621066	0.0316104551607141	0	0	0	0	1.09154921060426	0.067228426552519	0.108621469530671	0.103439897175606	0.00859516949839501	0.0375790195964599	0.0165070170516011	0.133974444608246	0	0.12502482816671	0.0210098866652187	0.0659520633138901	0.219737895015581	0.0390028935571381	0.273648963603505
Zm00001d014516	3.37195000993366	2.77617980655017	4.34033185379596	3.98440200657198	3.97152690825778	2.17874857716987	5.19637226052122	4.7112735846605	4.93726295574371	4.03973022501623	3.20820025033313	4.16191117635344	2.62866302710878	3.36026903024098	3.04194663267758	3.83289715169097	2.24226789601209	4.48021974625492	4.44224612422084	4.65579699164452	4.95482449056508	3.60230044433246	3.49059702028556	4.12561283535408	4.99426372672632	3.67336505068999	5.13275540008812	2.77574979982394	3.83514841719338	2.76985889062831	3.73142602411094
Zm00001d036422	3.24170986236034	3.11491567782621	3.85380512102913	3.35114023459662	3.18549876974065	2.31231331401942	4.31198958699348	3.86291150245354	4.21458140514671	2.95589248073659	2.54208417286551	3.5454842192243	2.88233080658706	2.69725083676807	2.8885536042152	3.13963222290947	2.29106966798414	3.03667440735862	3.88310028677292	3.49048830267294	3.64556915185872	3.17743835519458	2.82960259639233	2.81840455688798	3.98910348465377	2.59289052815806	3.57823705466715	2.31043275843838	3.07178471793189	2.51891489797843	3.36189746642784
Zm00001d042048	0	0.00700743636053782	0	0	0	0	0	0	0	0	0	0.0102563641048833	0.0708708328749951	0	0	0.0471635325029726	0	0	0	0	0	0	0	0	0	0	0	0	0.0219089186396989	0	0.0340078902929949
Zm00001d034537	1.01209484826004	1.92005619847888	1.69879232996588	1.6673551293516	2.80471629452125	1.82546693776419	2.73156211654009	2.00800705821957	1.93124318546587	2.78108373891552	2.14732623853566	2.30311775967025	2.13615594202454	1.59465316503337	1.20650507369315	2.16932022517765	1.13359048560619	3.93101388279075	1.79787065932979	2.36423609107387	2.69906406313388	1.08853207600389	2.43230831103078	3.19827356787766	3.00808739975153	1.98913610017127	3.00961080015224	1.5717828544726	3.16150019821927	1.60948218571862	3.16660876513064
Zm00001d023943	6.46989924920309	5.51282833714098	6.58843665955216	6.42874946776201	6.00175152903074	4.11230137678054	6.45039026517583	6.8475794163698	6.62877274964448	6.40833167709851	4.26302091807492	7.02040911860693	5.44692925887059	6.47982391600688	6.44592864963922	6.7312610165451	5.40556297491891	5.04989345195441	6.66844945149052	6.63760948552396	6.71980470212504	6.36196084040967	5.18208655225155	5.49378046716947	6.17570212269439	5.27955237995887	6.25629134562547	5.0604790464414	5.44383313217811	4.93956499297373	5.52143402752127
Zm00001d026867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d039845	0.165243723977716	1.58604219429355	0	0.0152420635773945	0.071216236023821	2.65107144376387	0	0.0347009935186803	0	0.0365673348781424	0.0445948585930344	0.0202774545153468	0.467475131077224	0.225768496429597	0.289498092153647	0.163646214549813	0	0.0335132167149881	0	0	0	10.0418003331074	0.0495478277995578	0.0770378618312468	0	0	0	0	0	0	0
Zm00001d047260	4.95964001936223	3.38442155688445	5.61878493765823	6.96758112105194	6.07194956796189	3.17512726632852	5.31896323360034	5.06171851022896	4.67468156427285	5.57251098704999	4.79736670612608	6.17168285585564	2.56729098227753	4.37007888832596	4.41521184069424	4.07304509053139	6.53920863752148	4.84264094018906	6.4485563212185	6.88080344337677	6.62817164450532	4.34736840641012	4.9918004265482	4.52796279580236	7.27464567178158	5.35142336860525	6.63409546294593	4.97116914037674	5.6597390020771	4.35116670732176	5.24713842824206
Zm00001d040623	1.43602614709161	0.246125905595278	1.95657730443305	1.75092244831976	0.634694090952925	0.136178258884008	1.34445073407861	0.806044359875163	1.77400012167207	0.868912711911497	1.15380695708379	1.54879417146503	0.852847020301802	0.714954984272864	0.659799915123829	0.720649271202988	1.72278119704955	0.726073930311321	2.00316900335133	2.52237770749571	2.93804287542006	2.38693369446116	1.15226845279214	0.960254433748025	1.3105128846332	0.727997541416063	1.77657315623756	1.48770834471796	0.848252962200442	2.02475618090192	0.810638055020369
Zm00001d029745	0.981867628021309	0.401170609342268	2.49650018691455	3.6973155665848	1.68620601925591	0.128187141881022	1.55618291610651	1.47721802675754	1.90212704006286	2.61091156159654	8.42775835961214	2.59553063320553	6.91499322627098	0.878894021997299	7.42424966452224	6.39302332904963	7.20533821441798	7.74210334421075	3.37434065010687	2.84713844802281	3.76437922601488	4.97687962314577	9.13654928249727	1.41369778592676	2.50982667919421	7.53617727291435	2.38103911823406	7.65099876267953	8.31820178950155	7.57680948813785	8.13527207428795
Zm00001d050076	0.541165894032122	0.0279877138091044	2.85464381637637	2.30131649395191	0.436709810069401	0.0178962598574404	2.169252067737	1.48808640420141	2.40480014665645	0.595970956901085	0.55163659605509	1.48530857285533	0.456534928604531	2.23069566555907	0.843703315066063	0.541034521967941	0.937531214711404	2.04575520635536	2.77587798325074	0.349417367683551	0.276304293476475	1.12220057718177	0.867347344869581	0.668129111842203	0.673312185348021	1.4042072135573	0.785589050991701	2.06565433540131	2.09432999400643	0.895054394381406	1.21761290221512
Zm00001d053222	0.0867328226211343	0.144544372485048	0.244480368774052	0.142279455442578	0.256463014542401	0.0848017561743463	0.148100451153718	0.121366248263104	0.0675313367216731	0.102404167812644	0.0693591507123607	0.173942278037184	0.667469811218079	0.202020827894142	0	0.11724620827249	0.0483694264790115	0.119901276638882	0.0434809979509726	0.211854506378459	0.197714447620792	0.18620450856105	0.039071698433993	0.0715052673473631	0.115246367744927	0.0854810847854887	0.0410130300032232	0.0941664674224565	0.0785292273238739	0.0502376870897033	0.0291687361128016
Zm00001d036454	5.41764647319743	5.20986116177636	6.02319029203022	6.12035449112611	5.03581124999131	5.024204924874	6.36272388101222	6.21649143649607	6.01727599041565	4.98451094782726	5.00822274180221	5.47006495115366	6.38754927668928	5.71044876627005	5.21250218271281	5.45381757723042	5.7154705874298	6.48502885573826	5.90550585773419	5.9222537327139	6.06471041353403	4.89849722544511	6.04745732431672	5.6382139282346	5.80595228864921	6.16321870996299	5.99733399631254	6.06415087705609	6.73478335834565	6.0346748056938	6.79080446295471
Zm00001d038434	0	0	0	0	0	0	0	0	0	0.00687247381598514	0	0	0.883518768393238	0.174217200214718	0	0.964001536053452	0	0	0	0	0	0	0.00439855722253568	0	0	0.03073016105823	0	0	1.71638823766158	0	1.40098132622263
Zm00001d033655	3.47120066443356	2.94362206988028	4.00738219631268	3.41343140449793	3.46785963765358	3.33457034932425	4.17985046565708	4.44880803832843	4.35307439774186	4.48421867620317	3.95214357105329	4.61630755353224	4.94876657504206	4.63484632771725	3.53330929690179	4.33930131822365	4.80097898073126	4.40789535941593	4.04634834646376	4.56645881911928	5.02224537851269	4.88005025189982	3.77998004742697	6.11565240406207	4.21438463806968	4.1509201834401	4.73199053922054	4.08092605469001	3.91904583991017	3.9317825579883	4.52638565006183
Zm00001d012416	0	0	0	0	0	0	0	0	0.0536792641054342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049437544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d048270	3.83192495875676	3.45809624558956	4.19151274926496	3.97529836127749	4.00981191503281	3.09471846425044	4.5892588149363	4.40830117108868	4.4589678816009	3.67518819970569	2.92430420544965	3.71561512535875	3.63853235592597	3.36883775878899	3.28545297124123	3.63410311027952	3.49089085056918	4.27396365990136	4.13981207806089	3.96895306920492	3.99841978958733	3.10420412708991	3.55576892320085	3.5832112688532	4.22679438168303	3.99234344374143	4.49693074036996	3.44748259489796	4.09562834184734	3.31024827676958	4.07542579418916
Zm00001d000971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d034052	0.0655075163813712	0.0412303638527262	0.0554733358984316	0.0321706834369422	0.0638011144854363	0.0105929564731752	0.0639715695034995	0.0140702968483997	0.0380554397389903	0	0.102438435345307	0.0407767299289504	0.207345647941683	0.0302244726752799	0.153617935653523	0.148453234480536	0.0949028665514011	0.0339656171283279	0.0346735293002709	0	0.0524249370521765	0	0.189741077781846	0.0147244899586494	0.036610235151204	0.0352811409734481	0.0333222075965903	0.0459496423924311	0.0836096081136541	0.0851887202888727	0.0466412239759091
Zm00001d051750	0	0.00606027833396897	0.00631023334002822	0	0	0	0	0	0	0.00993402121113256	0	0	0.124000513380798	0.110894383444845	0	0.0450710653867325	0	0	0	0.0113446345794688	0	0	0	0	0	0	0	0	0	0.0113102806929959	0.0156352953809538
Zm00001d048151	0.0249649883858831	0.00899666874381582	0.154171636853198	0.0941624128088573	0.0527664389760613	0	0.132226736903234	0.0124807146928693	0.305882410325702	0.0194976812564134	0	0.101324659899901	0	0	0.0146123840363295	0.0890085819650984	0.592912886776264	0.00340002933990405	0.50131123963741	0.00875865053388599	0.0135344374185457	1.32606586417381	0	0.091873116365918	0.0085385204319501	0.0165177141276906	0	0.0743279999941754	0	0.0161539690375294	0
Zm00001d022460	3.44638401524502	0.52611489702309	3.17922901244921	4.29898695309097	3.08323260405462	0.980566437943081	3.20189344451492	4.07084619484867	3.12063146033486	3.66731839516275	3.74787195852796	4.21719371759923	0.272182683174442	1.89959735407529	3.03448302590793	3.93857627794022	0.12434269423649	0.0383940380500867	4.00781022049188	5.3575705132211	4.94407671959474	4.0247391630009	3.09751944552028	2.07787805520307	5.0205847835242	0.718866166049851	4.86265258093291	0.177938834666185	0.0449850660986224	0.408119990146092	0.512292634483012
Zm00001d035153	0.947498222181516	3.82032613533679	0.00321218859044147	0	0.146438866803542	2.88591879353775	0	0	0	0.00994619991844264	0	2.27273107097533	0	0	0	0	0	0	0	0	0	0	0	0	0.00387707808297785	0	0.00514771863480867	0	0.00601717826597432	0	0
Zm00001d047901	0.265049164668375	0.0189780727849177	0.53091872571261	1.22750974559948	0.0061328272072082	0	0.058712013455484	0.0857659132076293	0.332380265043025	5.62875255817535	1.89971624972928	2.21284197778149	0.947825096943312	4.93550017570281	3.33020227140869	4.58468643865922	0.262359186793801	0.765597968966225	0.497193354821982	3.36802271744884	2.65372925859291	4.72172967958591	2.49685588601759	5.65199255262638	0.812829647731907	2.52486493653995	0.278438009541945	0.338932085643117	1.31308996263385	1.8380572405615	3.86891715543628
Zm00001d049052	0	0	0	0	0	0	0	0.00588499669464481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d016387	0	0	0	0	0	0	0	0	0	0	0.000181046867178263	0	0	0	0	0	0	0	0	0.00665779992791663	0.0113439188818446	3.19367973909079	0	0	0.0164078870400599	0	0	0	0	0	0
Zm00001d044568	0.398314247787259	0.0122811784870184	0.173196527641792	0	0.795617767397018	0.748211315967799	0	0.112733489474509	0.211974084909041	0	0	0.122155177175905	0	0	0	0	0.14374082537281	0.388663467989346	0.149720459879578	0	0.224372500487862	0	0.108325727531044	0.127591021677873	0.284508210838654	0.109453504086083	0	0	0	0	0
