id1	id2	trans	ribo	ppi
Zm00001d041603	Zm00001d030620	IV	III	IV
Zm00001d041707	Zm00001d023912	IV	III	IV
Zm00001d041725	Zm00001d035304	IV	III	IV
Zm00001d041839	Zm00001d023606	IV	V	IV
Zm00001d041926	Zm00001d023479	IV	I	IV
Zm00001d042084	Zm00001d011854	IV	III	III
Zm00001d042133	Zm00001d011885	IV	V	III
Zm00001d042214	Zm00001d011919	IV	II	IV
Zm00001d042234	Zm00001d011923	IV	III	IV
Zm00001d042357	Zm00001d012043	IV	V	II
Zm00001d042359	Zm00001d012045	IV	IV	V
Zm00001d042618	Zm00001d010232	IV	V	IV
Zm00001d043080	Zm00001d010622	IV	V	V
Zm00001d043149	Zm00001d038534	IV	V	V
Zm00001d043194	Zm00001d038579	IV	IV	V
Zm00001d043224	Zm00001d012599	IV	IV	III
Zm00001d043238	Zm00001d038598	IV	V	IV
Zm00001d043301	Zm00001d012653	IV	III	III
Zm00001d043401	Zm00001d012701	IV	IV	III
Zm00001d043500	Zm00001d012734	IV	V	IV
Zm00001d043523	Zm00001d010797	IV	V	IV
Zm00001d043563	Zm00001d038775	IV	II	IV
Zm00001d043578	Zm00001d011754	IV	V	V
Zm00001d043684	Zm00001d011700	IV	IV	III
Zm00001d043695	Zm00001d011692	IV	IV	III
Zm00001d043757	Zm00001d011648	IV	III	IV
Zm00001d043831	Zm00001d011615	IV	I	IV
Zm00001d043834	Zm00001d038929	IV	IV	III
Zm00001d043914	Zm00001d039002	IV	IV	III
Zm00001d043962	Zm00001d039041	IV	IV	III
Zm00001d043998	Zm00001d011500	IV	V	III
Zm00001d044036	Zm00001d011478	IV	V	IV
Zm00001d044327	Zm00001d011246	IV	III	IV
Zm00001d044527	Zm00001d009403	IV	V	V
Zm00001d044664	Zm00001d023293	IV	IV	III
Zm00001d044831	Zm00001d018040	IV	V	IV
Zm00001d044831	Zm00001d037227	IV	V	IV
Zm00001d044979	Zm00001d037122	IV	II	III
Zm00001d044982	Zm00001d018246	IV	IV	III
Zm00001d045027	Zm00001d037108	IV	III	II
Zm00001d045194	Zm00001d036319	IV	IV	III
Zm00001d045206	Zm00001d036293	IV	V	IV
Zm00001d045339	Zm00001d036195	IV	II	III
Zm00001d045403	Zm00001d036108	IV	III	III
Zm00001d045505	Zm00001d036013	IV	IV	V
Zm00001d046531	Zm00001d015780	IV	III	IV
Zm00001d046568	Zm00001d015549	IV	IV	III
Zm00001d046740	Zm00001d036796	IV	IV	III
Zm00001d046967	Zm00001d036648	IV	IV	III
Zm00001d046968	Zm00001d036641	IV	III	IV
Zm00001d047059	Zm00001d030014	IV	IV	III
Zm00001d047236	Zm00001d029417	IV	III	IV
Zm00001d047456	Zm00001d007077	IV	III	IV
Zm00001d047477	Zm00001d029173	IV	II	III
Zm00001d047479	Zm00001d029170	IV	III	III
Zm00001d047482	Zm00001d022499	IV	V	III
Zm00001d047533	Zm00001d029047	IV	III	IV
Zm00001d047689	Zm00001d028812	IV	V	III
Zm00001d047694	Zm00001d028811	IV	III	IV
Zm00001d047797	Zm00001d028653	IV	I	III
Zm00001d047958	Zm00001d028384	IV	III	III
Zm00001d047977	Zm00001d028359	IV	III	IV
Zm00001d048236	Zm00001d027969	IV	V	III
Zm00001d048252	Zm00001d027922	IV	IV	III
Zm00001d048324	Zm00001d027841	IV	I	III
Zm00001d048338	Zm00001d027503	IV	V	IV
Zm00001d048343	Zm00001d027514	IV	V	IV
Zm00001d048430	Zm00001d027743	IV	V	IV
Zm00001d049457	Zm00001d024225	IV	III	III
Zm00001d049571	Zm00001d024602	IV	III	III
Zm00001d049605	Zm00001d024677	IV	IV	V
Zm00001d049767	Zm00001d031542	IV	IV	III
Zm00001d049826	Zm00001d031627	IV	IV	III
Zm00001d050330	Zm00001d020361	IV	III	IV
Zm00001d050401	Zm00001d032198	IV	III	IV
Zm00001d050411	Zm00001d032181	IV	IV	III
Zm00001d050551	Zm00001d016552	IV	V	III
Zm00001d050730	Zm00001d016793	IV	V	IV
Zm00001d050917	Zm00001d017036	IV	III	IV
Zm00001d051043	Zm00001d017168	IV	IV	III
Zm00001d051065	Zm00001d017193	IV	IV	V
Zm00001d051067	Zm00001d017197	IV	III	III
Zm00001d051161	Zm00001d017274	IV	I	II
Zm00001d051174	Zm00001d003006	IV	II	IV
Zm00001d051269	Zm00001d002843	IV	III	V
Zm00001d051362	Zm00001d017485	IV	III	IV
Zm00001d051387	Zm00001d002718	IV	IV	V
Zm00001d051427	Zm00001d002659	IV	IV	III
Zm00001d051431	Zm00001d017568	IV	V	IV
Zm00001d051675	Zm00001d017877	IV	IV	III
Zm00001d052062	Zm00001d018341	IV	III	III
Zm00001d052149	Zm00001d037156	IV	IV	III
Zm00001d052157	Zm00001d018179	IV	IV	III
Zm00001d052239	Zm00001d044844	IV	V	IV
Zm00001d052411	Zm00001d005006	IV	IV	III
Zm00001d052461	Zm00001d023249	IV	IV	V
Zm00001d052698	Zm00001d031688	IV	V	III
Zm00001d052838	Zm00001d020874	IV	III	V
Zm00001d052840	Zm00001d005995	IV	IV	III
Zm00001d052840	Zm00001d031316	IV	IV	III
Zm00001d052893	Zm00001d006030	IV	III	III
Zm00001d052893	Zm00001d020946	IV	V	III
Zm00001d053016	Zm00001d004812	IV	III	IV
Zm00001d053200	Zm00001d006192	IV	III	IV
Zm00001d053593	Zm00001d016379	IV	III	IV
Zm00001d053778	Zm00001d015401	IV	IV	III
Zm00001d053807	Zm00001d015366	IV	I	IV
Zm00001d053819	Zm00001d036593	IV	IV	II
Zm00001d053899	Zm00001d015036	IV	V	IV
Zm00001d011392	Zm00001d009708	V	IV	IV
Zm00001d011458	Zm00001d009660	V	V	IV
Zm00001d012505	Zm00001d010617	V	IV	V
Zm00001d013049	Zm00001d007760	V	IV	IV
Zm00001d015277	Zm00001d014642	V	IV	IV
Zm00001d016684	Zm00001d003817	V	III	IV
Zm00001d016908	Zm00001d003493	V	V	IV
Zm00001d017399	Zm00001d002824	V	IV	IV
Zm00001d017945	Zm00001d000379	V	V	IV
Zm00001d018887	Zm00001d013094	V	IV	IV
Zm00001d018959	Zm00001d007823	V	IV	IV
Zm00001d019169	Zm00001d005240	V	IV	IV
Zm00001d019215	Zm00001d005205	V	IV	III
Zm00001d019234	Zm00001d005179	V	IV	IV
